e_name,e_category,e_type
路人甲网吧,休闲娱乐 网吧/电竞,0
杭乐饭堂,美食 快餐简餐,0
南京小笼蒸包,美食 包子,0
牛元瓷砖胶,家装 瓷砖石材,0
花花的民宿,酒店 民宿,0
古月窗帘,家装 窗帘,0
馋掉牙花甲锅仔饭,美食 快餐简餐,0
市心北路的民宿,酒店 民宿,0
五堡桥头,生活服务 公交车,1
利园足浴,休闲娱乐 按摩/足疗,0
兆云集团,生活服务 公司企业,0
杭州德兰家纺有限公司,家装 其他家具家居,0
21世纪不动产,生活服务 房产中介,0
鲁吾君诊所,医疗健康 综合诊所,0
利辉装饰,家装 装修设计,0
巴比馒头,美食 包子,0
七菓仓,美食 水果店,0
国泰科技大厦,生活服务 商务楼,1
大宝漆,家装 油漆涂料,0
浙江宏伟集团有限公司利丰广场C座,生活服务 商务楼,1
寒舍青年众创社区,生活服务 商务楼,1
博墺酒店,酒店 经济型,0
DDK韩式半永久美妆,丽人 纹绣,0
尚慧徐记饭店,美食 浙菜,0
鲁吾君诊所,医疗健康 综合诊所,0
土宝食材铺,美食 生鲜,0
林夕美业,丽人 美发,0
DinoRock,美食 咖啡厅,0
盈利来科技有限公司,生活服务 公司企业,0
利一家园,生活服务 小区,1
久德小吃,美食 包子,0
吉莱仕·炸鸡汉堡,美食 西式快餐,0
牛肉拉面•特色炒菜,美食 面馆,0
河南烩面,美食 小吃快餐,0
荣森门业,家装 门窗,0
皓月路市心路口公交站,生活服务 更多生活服务,0
装饰材料,家装 建材,0
湾组小吃,美食 黄焖鸡,0
碧桂园珑悦售楼中心,生活服务 小区,1
慕玛披萨Muapizza,美食 西餐,0
包笼天下,美食 茶饮果汁,0
浙江民营企业发展大厦A座,生活服务 商务楼,1
中国兰州牛肉拉面,美食 面馆,0
杭州首发进出口有限公司,生活服务 进出口报关,0
复式LOft温馨小筑,其它 榛果民宿,0
丽娟饭店,美食 苏浙菜,0
eailysettler,家装 软装设计,0
宁围镇三小,教育培训 小学,0
杭州小满的beauty公寓书音路分店,酒店 经济型,0
高格办公空间-诺德财富中心,生活服务 联合办公空间,1
红蜻蜓,购物 鞋靴,0
智慧科技园,生活服务 商务楼,1
湘印图文,生活服务 图文快印,0
伊蓓诺皮肤管理中心,丽人 SPA美体,0
晨光五金,家装 家用五金,0
一醉食府,美食 川菜家常菜,0
菓拾水果店,美食 水果店,0
时代花园,生活服务 小区,1
诺德财富中心城市客厅,生活服务 商务楼,1
虾雨,美食 烧烤烤串,0
震轩,丽人 美发,0
子鲤港式煲仔披萨饭,美食 西餐,0
加米造型,丽人 美发,0
壹家水果店,美食 水果店,0
方央海鲜·东海野生滋味,美食 海鲜,0
Hi bro披萨,美食 西餐,0
又觅一杯奶茶,美食 茶饮果汁,0
川湘菜馆,美食 川菜馆,0
杭州扎库服饰有限公司,购物 服装,0
超级檬,美食 茶饮果汁,0
上海欧龙投资有限公司,生活服务 证券投资,0
老胡子粮油炒货批发零售,美食 更多食品保健,0
沙拉拉轻食,美食 西餐,0
启航培训学校,教育培训 中小学综合辅导,0
MYFIT健身工作室,运动健身 私教工作室,0
平层特惠房a02近地铁/奥体博览城/钱江世纪城/钱塘江,其它 榛果民宿,0
金色江南公寓,生活服务 小区,1
涂香发铝合金,家装 家用五金,0
堂雅房产,生活服务 房产中介,0
咕的芒柠奶茶蛋糕店,美食 面包烘焙,0
清肌时光科技美肤中心,丽人 皮肤管理,0
红燕面馆,美食 面馆,0
景瑞天赋销售中心,生活服务 更多生活服务,0
杭州尚鸿电力设备有限公司,生活服务 公司企业,0
佳境电脑,生活服务 电脑维修,0
自然美全方位美容美体中心,丽人 美容/SPA,0
四维卫浴,家装 厨卫洁具,0
悦丰棋牌室,休闲娱乐 棋牌室,0
伊赛牛肉,美食 生鲜,0
杭州放刺电音文化传播有限责任公司,休闲娱乐 其他电影演出赛事,0
四海厅小区,生活服务 小区,1
西摩果园,美食 水果店,0
原香木桶饭,美食 快餐简餐,0
四川饭店,美食 川菜家常菜,0
绿城房屋4S,生活服务 房产中介,0
樱花美学·小丸子,丽人 纹绣,0
阿一煲,美食 其他中餐,0
河南滋补烩面,美食 小吃快餐,0
专卖小鸡小鸭,美食 更多食品保健,0
佳境天城境合苑4号,生活服务 商务楼,1
河南烩面,美食 小吃快餐,0
品俊骨头饭·黄焖鸡米饭,美食 黄焖鸡,0
海胜早点,美食 快餐简餐,0
楠足轩专业修脚店,休闲娱乐 按摩/足疗,0
足疗揉筋正骨SPA,休闲娱乐 按摩/足疗,0
煲倾添煲仔饭,美食 快餐简餐,0
悠百佳零食水果量贩,美食 水果店,0
【领.航】LOFT臻.品大床房02近地铁/奥体博览城/钱江世纪城/钱塘江附近,其它 榛果民宿,0
钱小饭卤肉饭,美食 快餐简餐,0
杭州领航汽车维修服务有限公司,爱车 维修保养,0
晓莲民宿分店,酒店 经济型,0
Y·S日系潮牌接发机构,丽人 美发,0
乔村二十八道,美食 创意菜,0
牛犇汽车美容,爱车 美容洗车,0
顺发佳境天城,生活服务 小区,1
万和国际中心,生活服务 商务楼,1
大象国际,生活服务 小区,1
冯式国际早教中心,教育培训 综合早教,0
墨然之惠子书法,教育培训 书法,0
天兴汽车生活馆,爱车 美容洗车,0
水饺砂锅居,美食 饺子,0
炒饭很嗨·天使鸡排,美食 快餐简餐,0
世纪晶钻,生活服务 小区,1
国家电网充电站,爱车 充电站/桩,0
业慧批发超市,购物 超市/便利店,0
阿K果园子,美食 水果店,0
一兆韦德健身,运动健身 健身房,0
亨德利大厦,生活服务 商务楼,1
痘院士专业祛痘皮肤管理,丽人 祛痘,0
汉音古筝学苑·专业古筝培训,教育培训 音乐,0
祥腾房地产开发有限公司,生活服务 房产中介,0
丰北安置小区,生活服务 小区,1
村正,美食 川菜馆,0
水果超市,美食 水果店,0
杰宝大王电动车,购物 自行/电动车及配件,0
阳光城檀悦,生活服务 小区,1
中老年服装,购物 服装,0
苏宁电器,家装 家用电器,0
我们缘分开始公寓,酒店 经济型,0
萧山区钱江世纪城利二花苑民宿,酒店 民宿,0
花样空间,家装 其他家具家居,0
萧山汽修,爱车 维修保养,0
布格窗帘,家装 窗帘,0
安吉白茶,购物 烟酒茶叶,0
维维头等仓,美食 茶饮果汁,0
杭州领欣生物科技有限公司,生活服务 公司企业,0
万禹国际大厦,生活服务 商务楼,1
鸿星尔克,购物 其他服饰鞋包,0
十足,购物 超市/便利店,0
老鸭粉丝汤,美食 快餐简餐,0
民营企业发展大厦b座,生活服务 商务楼,1
丰二诊所,医疗健康 综合诊所,0
荆门土菜馆,美食 快餐简餐,0
利二花苑,生活服务 小区,1
杭州衍森室内设计机构,家装 全包装修,0
杭州特灵中央空调,家装 家用电器,0
童话烘焙屋,美食 面包烘焙,0
共创空间,生活服务 联合办公空间,1
悠百佳量贩零食,购物 超市/便利店,0
钱江世纪城信息安全科创园,生活服务 商务楼,1
便捷新农都生活超市,美食 其他美食,0
丰盛大厦,生活服务 商务楼,1
包笼天下,美食 快餐简餐,0
四季恒温泳池,运动健身 游泳馆,0
爱玩爱游亲子成长中心,亲子 婴儿游泳,0
抹茶复式【2号线振宁路港汇】近机场抹茶复式亲子房,其它 榛果民宿,0
名威指定专营店,购物 数码产品,0
杭州晓莲民宿文明路分店,酒店 经济型,0
盈丰农副产品综合市场,美食 水果生鲜,0
恒吉文化投资有限公司,生活服务 其他金融,0
牛哥重庆麻辣烫酸辣粉,美食 米粉/米线,0
爱香饭店,美食 苏浙菜,0
杭州天雅建筑装饰工程有限公司,家装 装修设计,0
飞虹路地铁站,生活服务 地铁,1
粤港养生餐厅,美食 打边炉/港式火锅,0
学思舞蹈学校,教育培训 其他运动培训,0
吉象搬家,生活服务 搬家,0
镜合苑,生活服务 小区,1
滨江金色江南,生活服务 小区,1
速递易,生活服务 物流快递,0
民企大厦b幢6f,生活服务 商务楼,1
丰巢快递柜,生活服务 物流快递,0
浙江怡华物业管理有限公司,生活服务 社区服务,0
杭州国邦进出口有限公司,生活服务 公司企业,0
口碑地产,生活服务 房产中介,0
新阿里芭芭娱乐城KTV,休闲娱乐 娱乐会所,0
爱口福东北特色水饺,美食 饺子,0
CoMo专业烫发/染发/接发,丽人 美发,0
梳雅造型,丽人 美发,0
立实电商,教育培训 其他职业培训,0
杭州盈二药店,医疗健康 药店,0
江南小学,教育培训 小学,0
佳境送水站,生活服务 送水站,0
土灶柴火鸡,美食 本地鸡窝火锅,0
冠泰地产,生活服务 房产中介,0
钱江世纪城,生活服务 小区,1
依家干洗,生活服务 洗衣店,0
中通快递,生活服务 物流快递,0
萧山区世纪实验小学,教育培训 小学,0
宁围镇合丰村星光老年之家,休闲娱乐 老年活动中心,0
隆港国际商务中心,生活服务 商务楼,1
顺丰家园,生活服务 小区,1
融创住住公寓,生活服务 国际公寓,1
地下停车库,爱车 停车场,0
【源宿】高层落地窗观景Loft家庭双床房振宁路地铁站市心北路港汇中心,其它 榛果民宿,0
融信保利创世纪,生活服务 小区,1
华林烟酒,购物 烟酒茶叶,0
育翔教育,教育培训 中小学综合辅导,0
万和国际高格办公空间,生活服务 联合办公空间,1
很很好吃,美食 快餐简餐,0
浙江惠众在线互联网科技发展有限公司,生活服务 公司企业,0
钱江世纪城智慧城市二期项目智慧交通系统项目部,生活服务 小区,1
SOLE速尔健身器材跑步机椭圆机动感单车综合力量划船器,购物 运动户外,0
聚百味鲜卤坊,美食 烤鸭,0
这品健康食所,美食 其他美食,0
布兰妮·汉堡,美食 西式快餐,0
祐驿站,购物 超市/便利店,0
东湘汽修,爱车 维修保养,0
合丰有海钻孔,生活服务 房屋防水,0
晨娜广告,生活服务 图文快印,0
御庭园,生活服务 小区,1
希尔顿欢朋酒店·咖啡吧,美食 咖啡厅,0
石小沫煎饼果儿,美食 快餐简餐,0
合丰新业大厦停车场,爱车 停车场,0
杭州攀龙网络科技有限公司,生活服务 公司企业,0
猎人与花 鲜花绿植,购物 花店,0
杭州华汉市政园林工程有限公司,生活服务 公司企业,0
西斯特姆·世纪之星,生活服务 小区,1
甘茶度,美食 茶饮果汁,0
星河教育,教育培训 其他STEM,0
宏立大厦,生活服务 商务楼,1
早饼晚粥,美食 粥店,0
DERMAPIA德曼菲亚,丽人 皮肤管理,0
果鲜生,美食 水果店,0
望潮面馆,美食 面馆,0
重庆小面,美食 面馆,0
丰北村幼儿园,教育培训 幼儿园,0
果丁酒店世纪新城店,生活服务 联通营业厅,0
学天少儿编程,教育培训 乐高,0
德国摩根智能家居,家装 基础建材,0
"杭州地铁二号线振宁路地铁口,精致温馨装修单间",其它 榛果民宿,0
盈一村居家养老服务照料中心,生活服务 社区服务,0
公共厕所,生活服务 厕所,0
玄川,美食 寿司,0
顺发和美家,生活服务 小区,1
猪笼城寨小龙虾音乐酒馆,美食 小龙虾,0
LD nail 罗迪艺术美甲美睫,丽人 美甲,0
杭州EG童颜整形医院,丽人 医学美容,0
黑泷堂,美食 茶饮果汁,0
百世快递,生活服务 物流快递,0
