id,name,dtype,typecode,address,tel,adname,marlon,marlat,wgs84lon,wgs84lat,big_category,medium_category,small_category
B0FFH259X8,诺德财富中心城市客厅(西门),通行设施;建筑物门;建筑物正门,991001.0,市心北路1939号附近,[],萧山区,120.256822,30.233667,120.25235362849358,30.23612235443786,通行设施,建筑物门,建筑物正门
B0FFHXXE3B,大象国际中心(西南门),通行设施;建筑物门;建筑物门,991000.0,民和路600号附近,[],萧山区,120.252993,30.233972,120.24852262757452,30.236428099131658,通行设施,建筑物门,建筑物门
B0FFHQN1QL,三宏国际大厦(正门),通行设施;建筑物门;建筑物正门,991001.0,[],[],萧山区,120.254384,30.231292,120.2499146404701,30.23374807007048,通行设施,建筑物门,建筑物正门
B0FFG4EAEJ,振亚大厦(北正门),通行设施;建筑物门;建筑物正门,991001.0,民和路501号附近,[],萧山区,120.254689,30.230361,120.25021987910075,30.23281707658953,通行设施,建筑物门,建筑物正门
B0FFHRKJ3C,联合中心(正门),通行设施;建筑物门;建筑物正门,991001.0,民和路481号附近,[],萧山区,120.255213,30.229735,120.25074419969518,30.23219101312541,通行设施,建筑物门,建筑物正门
B0FFH19RKT,宏扬鲲鹏中心办公体验馆(西北门),通行设施;建筑物门;建筑物正门,991001.0,皓月路与金鸡路交叉口东100米宏扬鲲鹏中心办公体验馆附近,[],萧山区,120.251385,30.230392,120.2469138954406,30.23284850150533,通行设施,建筑物门,建筑物正门
B0FFH68E47,盈一佳苑(西南门),通行设施;临街院门;临街院门,991400.0,铁东路与鸿宁路交叉口南150米盈一安置小区附近,[],萧山区,120.269036,30.23528,120.26456949250066,30.23772915236378,通行设施,临街院门,临街院门
B0FFF3VIDQ,佳境天城境合苑(东1门),通行设施;临街院门;临街院正门,991401.0,市心北路861号附近,[],萧山区,120.268186,30.219793,120.26372082825787,30.222243773700693,通行设施,临街院门,临街院正门
B0FFGZFUE2,盈一村村委会(南门),通行设施;临街院门;临街院正门,991401.0,盈一村740号,[],萧山区,120.264428,30.235222,120.25996150242244,30.23767409490792,通行设施,临街院门,临街院正门
B0FFGYZRRL,顺发·江南丽锦(西北门),通行设施;临街院门;临街院门,991400.0,市心北路与扬帆路交叉口西北150米,[],萧山区,120.266396,30.228298,120.26193017724508,30.230749407857104,通行设施,临街院门,临街院门
B0FFGYZRRK,顺发·和美家(东北3门),通行设施;临街院门;临街院门,991400.0,市心北路与S4机场高速出口交叉口西南100米,[],萧山区,120.265734,30.228768,120.26126812089052,30.23121978296256,通行设施,临街院门,临街院门
B0FFG4HSUI,顺发·和美家(东北4门),通行设施;临街院门;临街院门,991400.0,市心北路与S4机场高速出口交叉口西南100米,[],萧山区,120.266001,30.228571,120.26153514647828,30.231022634087243,通行设施,临街院门,临街院门
B0FFG4ERS5,萧山区江南小学(东南门),通行设施;临街院门;临街院正门,991401.0,扬帆路与民和路交叉口东北200米,[],萧山区,120.261027,30.22399,120.2565608401874,30.22644452406585,通行设施,临街院门,临街院正门
B0FFG4JELM,顺发·和美家(东北2门),通行设施;临街院门;临街院门,991400.0,丰盈线与市心北路交叉口南100米,[],萧山区,120.265115,30.229246,120.26064904809564,30.231698116673503,通行设施,临街院门,临街院门
B0FFG4I13T,顺发·和美家(东北1门),通行设施;临街院门;临街院门,991400.0,丰盈线与市心北路交叉口南100米,[],萧山区,120.264792,30.229495,120.26032600362063,30.23194728526414,通行设施,临街院门,临街院门
B0FFF3VIDO,佳境天城天合苑(南门),通行设施;临街院门;临街院门,991400.0,振宁路786号,[],萧山区,120.267898,30.215795,120.26343317160914,30.218246211771334,通行设施,临街院门,临街院门
B0FFG4FO44,顺发·江南丽锦(东南门),通行设施;临街院门;临街院正门,991401.0,扬帆路与永晖路交叉口东北150米,[],萧山区,120.266097,30.226843,120.2616312905246,30.229294689387384,通行设施,临街院门,临街院正门
B0FFF3VGMN,佳境天城天合苑(东北门),通行设施;临街院门;临街院正门,991401.0,市心北路737号,[],萧山区,120.268511,30.216539,120.26404607178628,30.218989744378053,通行设施,临街院门,临街院正门
B0FFGAR62G,盈一外来人员公寓(东北门),通行设施;临街院门;临街院正门,991401.0,利丰路与市心北路交叉口北150米,[],萧山区,120.260641,30.233611,120.25617395509074,30.23606504497135,通行设施,临街院门,临街院正门
B0FFHXOIWG,四海厅小区(东门),通行设施;临街院门;临街院门,991400.0,萧钱线西50米,[],萧山区,120.258337,30.232459,120.25386932896376,30.23491398249692,通行设施,临街院门,临街院门
B0FFHL2IAI,佳合苑(北门),通行设施;临街院门;临街院门,991400.0,市心北路867号附近,[],萧山区,120.267667,30.21955,120.26320187506258,30.222001141831925,通行设施,临街院门,临街院门
B0FFH8DCJ2,丰北卫生室(东门),通行设施;临街院门;临街院门,991400.0,市心北路与萧钱线交叉口南200米,[],萧山区,120.258185,30.232006,120.25371731027144,30.23446106327949,通行设施,临街院门,临街院门
B0FFHJTJIR,滨江·金色江南(东北门),通行设施;临街院门;临街院门,991400.0,永晖路与飞虹路交叉口西北100米,[],萧山区,120.260909,30.229099,120.2564423929561,30.231553240480025,通行设施,临街院门,临街院门
B0FFGAQZ3G,佳境天城境合苑(东2门),通行设施;临街院门;临街院门,991400.0,市心北路821-825号附近,[],萧山区,120.268034,30.218789,120.2635689194436,30.221239939498226,通行设施,临街院门,临街院门
B0FFHXOIXN,万和国际(东南门),通行设施;临街院门;临街院门,991400.0,皓月路与鸿宁路交叉口南200米,[],萧山区,120.257338,30.233186,120.252869884199,30.235641242368967,通行设施,临街院门,临街院门
B0FFHXOHZ9,萧山区江南小学(东北门),通行设施;临街院门;临街院门,991400.0,扬帆路北200米,[],萧山区,120.261541,30.225624,120.25707482666957,30.228078193285768,通行设施,临街院门,临街院门
B0FFGAQZJP,51风尚酒店(东门),通行设施;临街院门;临街院正门,991401.0,市心北路与振宁路交叉口西北150米,[],萧山区,120.269149,30.21664,120.264684006224,30.219090283695945,通行设施,临街院门,临街院正门
B0FFH24IAG,松爱教会(东门),通行设施;临街院门;临街院正门,991401.0,萧钱线西50米,[],萧山区,120.258349,30.232246,120.25388135075512,30.234700993217967,通行设施,临街院门,临街院正门
B0FFHXOGWY,滨江·金色江南(东南门),通行设施;临街院门;临街院门,991400.0,永晖路与飞虹路交叉口西南200米,[],萧山区,120.260413,30.228038,120.2559463502725,30.230492517423546,通行设施,临街院门,临街院门
B0FFGZFUKL,丰北一苑(西北2门),通行设施;临街院门;临街院门,991400.0,利丰路与萧钱线交叉口南50米,[],萧山区,120.25821,30.229575,120.25374251846024,30.23203022033636,通行设施,临街院门,临街院门
B0FFH8DIZT,松爱教会第一分家(东门),通行设施;临街院门;临街院门,991400.0,萧钱线西50米,[],萧山区,120.258178,30.232319,120.25371028206224,30.234774044016103,通行设施,临街院门,临街院门
B0FFG4EX7W,佳境天城境合苑(东3门),通行设施;临街院门;临街院门,991400.0,市心北路821号,[],萧山区,120.268061,30.2185,120.26359594154404,30.2209509385588,通行设施,临街院门,临街院门
B0FFGYZRRM,顺发·和美家(西南1门),通行设施;临街院门;临街院门,991400.0,宁围街道丰东飞虹路顺发·和美家南门,[],萧山区,120.264111,30.227572,120.25964509544434,30.230024791510044,通行设施,临街院门,临街院门
B0FFHXOGJ4,顺发·江南丽锦(西南门),通行设施;临街院门;临街院门,991400.0,宁围镇飞虹路1868号附近,[],萧山区,120.264351,30.227225,120.25988514920653,30.229677683005868,通行设施,临街院门,临街院门
B0FFGYZF04,顺发·和美家(西北2门),通行设施;临街院门;临街院正门,991401.0,飞虹路1880号附近,[],萧山区,120.263017,30.229478,120.25855079229976,30.2319312367736,通行设施,临街院门,临街院正门
B0FFHXOG9Z,顺发·和美家(西南3门),通行设施;临街院门;临街院门,991400.0,永晖路与飞虹路交叉口东100米,[],萧山区,120.262561,30.228541,120.25809479229312,30.230994524936488,通行设施,临街院门,临街院门
B0FFFGUNT3,丰盛大厦(南门),通行设施;临街院门;临街院门,991400.0,振宁路地铁站D3口西南200米,[],萧山区,120.267643,30.214935,120.263178253497,30.21738643452534,通行设施,临街院门,临街院门
B0FFG4EEFS,顺发·和美家(西南2门),通行设施;临街院门;临街院门,991400.0,永辉路与飞虹路交叉口东150米,[],萧山区,120.263077,30.228223,120.25861090440486,30.2306762903188,通行设施,临街院门,临街院门
B0FFGAR5NY,江南明城北区(西门),通行设施;临街院门;临街院门,991400.0,市心北路872-874号附近,[],萧山区,120.26929,30.219628,120.26482474685722,30.222078000665064,通行设施,临街院门,临街院门
B0FFG4G5VH,顺发·和美家(西北4门),通行设施;临街院门;临街院门,991400.0,永晖路与飞虹路交叉口东100米,[],萧山区,120.262631,30.228954,120.25816477085768,30.231407463267534,通行设施,临街院门,临街院门
B0FFHXOHY8,寒舍青年众创社区(西南门),通行设施;临街院门;临街院门,991400.0,永晖路与飞虹路交叉口东南200米,[],萧山区,120.26339,30.228009,120.25892396850524,30.230462144606708,通行设施,临街院门,临街院门
B023B14R93,佳境天城成合苑(东南1门),通行设施;临街院门;临街院门,991400.0,振宁路地铁站D1口西南150米,[],萧山区,120.267544,30.216929,120.26307909416025,30.2193803827184,通行设施,临街院门,临街院门
B0FFGZFUL6,松爱教会(西北门),通行设施;临街院门;临街院正门,991401.0,民和路与飞虹路交叉口东150米,[],萧山区,120.259383,30.226706,120.25491615579908,30.229161004310285,通行设施,临街院门,临街院正门
B0FFGZFUKQ,丰北一苑(西北1门),通行设施;临街院门;临街院正门,991401.0,利丰路730,[],萧山区,120.257454,30.229381,120.25298624260984,30.23183646792584,通行设施,临街院门,临街院正门
B0FFHYFSKW,杭州德龙汽车销售服务有限公司(西门),通行设施;临街院门;临街院门,991400.0,市心北路与S4机场高速出口交叉口东南100米,[],萧山区,120.269142,30.221122,120.26467664032536,30.223572015914577,通行设施,临街院门,临街院门
B0FFGZFUL2,丰北一苑(西南门),通行设施;临街院门;临街院门,991400.0,利丰路与民和路交叉口东150米,[],萧山区,120.257361,30.228197,120.25289330186357,30.23065257429617,通行设施,临街院门,临街院门
B0FFHJU8LY,东风悦达·起亚德龙专营店(西北门),通行设施;临街院门;临街院正门,991401.0,市心北路与S4机场高速出口交叉口东南100米,[],萧山区,120.269134,30.221114,120.2646686418014,30.223564022200183,通行设施,临街院门,临街院正门
B0FFGZFT2A,佳境天城天合苑(西南门),通行设施;临街院门;临街院门,991400.0,市心北路737-51号附近,[],萧山区,120.26791,30.216971,120.26344507481473,30.21942213371268,通行设施,临街院门,临街院门
B0FFHN5H6C,金昌·春和钱塘(东门),通行设施;临街院门;临街院门,991400.0,钱江世纪城飞虹路(外环西路)与民和路交汇处西面,[],萧山区,120.257513,30.227292,120.25304543723514,30.229747589201345,通行设施,临街院门,临街院门
B0FFH5QLEY,丰东花苑(东门),通行设施;临街院门;临街院门,991400.0,宁围街道利华路佳境天城西50米,[],萧山区,120.265092,30.217476,120.26062700939396,30.219928877401465,通行设施,临街院门,临街院门
B0FFFGV5SC,佳境天城成合苑(东南2门),通行设施;临街院门;临街院门,991400.0,流金广场附近,[],萧山区,120.268006,30.217237,120.26354104795024,30.21968805234748,通行设施,临街院门,临街院门
B0FFGZ063N,佳境天城天合苑(西北门),通行设施;临街院门;临街院门,991400.0,振宁路786-6号附近,[],萧山区,120.267394,30.216314,120.26292914934685,30.2187655189992,通行设施,临街院门,临街院门
B0FFH19NY0,佳境天城人合苑(北2门),通行设施;临街院门;临街院门,991400.0,振宁路821号附近,[],萧山区,120.267022,30.215606,120.26255721526252,30.218057804551588,通行设施,临街院门,临街院门
B023B0BKWR,丰盛大厦(东北1门),通行设施;临街院门;临街院门,991400.0,市心北路,[],萧山区,120.267835,30.215415,120.26337020579706,30.217866276932845,通行设施,临街院门,临街院门
B0FFH18V3X,顺丰家园(北2门),通行设施;临街院门;临街院门,991400.0,振宁路963号附近,[],萧山区,120.263722,30.215642,120.25925702493224,30.21809574523856,通行设施,临街院门,临街院门
B0FFH19RI0,顺丰家园(北3门),通行设施;临街院门;临街院门,991400.0,振宁路925-929号附近,[],萧山区,120.264235,30.215636,120.25977008524433,30.218089469529023,通行设施,临街院门,临街院门
B0FFGZ012C,金昌·春和钱塘(东南1门),通行设施;临街院门;临街院正门,991401.0,外环西路与民和路交会处,[],萧山区,120.257429,30.22632,120.2529614830136,30.228775677817872,通行设施,临街院门,临街院正门
B023B13ZCM,佳境天城人合苑(北1门),通行设施;临街院门;临街院正门,991401.0,振宁路847号,[],萧山区,120.266231,30.215663,120.26176620811792,30.21811530275306,通行设施,临街院门,临街院正门
B0FFH5QLC4,顺丰家园(北1门),通行设施;临街院门;临街院正门,991401.0,振宁路981号,[],萧山区,120.262701,30.215617,120.2582358740223,30.218071267476507,通行设施,临街院门,临街院正门
B023B0BXT2,丰盛大厦(东北2门),通行设施;临街院门;临街院正门,991401.0,振宁路718号,[],萧山区,120.268438,30.215345,120.26397317491048,30.217795866154177,通行设施,临街院门,临街院正门
B0FFH19I5A,杭州萧山汽车修理厂(东南门),通行设施;临街院门;临街院正门,991401.0,振宁路附近,[],萧山区,120.267622,30.214298,120.26315730642168,30.21674948582168,通行设施,临街院门,临街院正门
B023B1FOYP,佳境天城成合苑(南门),通行设施;临街院门;临街院门,991400.0,振宁路860附近,[],萧山区,120.265715,30.216024,120.26125016261354,30.2184765964568,通行设施,临街院门,临街院门
B0FFF2BC7D,丰盛大厦(西门),通行设施;临街院门;临街院门,991400.0,振宁路807附近,[],萧山区,120.267299,30.215207,120.26283424248646,30.21765864709672,通行设施,临街院门,临街院门
B0FFHY5G58,杭州国际博览中心(4号门),通行设施;临街院门;临街院门,991400.0,利二路与博奥路交叉口东南200米,[],萧山区,120.240648,30.230289,120.23616709404344,30.232744038556184,通行设施,临街院门,临街院门
B0FFGAR2M1,利二花苑(西南门),通行设施;临街院门;临街院正门,991401.0,利二路与金鸡路交叉口东150米,[],萧山区,120.243404,30.234077,120.23892579174355,30.2365325707215,通行设施,临街院门,临街院正门
B0FFH4JQL8,杭州国际博览中心(东1门),通行设施;临街院门;临街院门,991400.0,[],[],萧山区,120.240682,30.230331,120.23620112975532,30.232786047228096,通行设施,临街院门,临街院门
B0FFHXY84J,利二花苑(东南2门),通行设施;临街院门;临街院门,991400.0,奔竞大道与金鸡路交叉口东北200米,[],萧山区,120.245915,30.234614,120.24143919484568,30.23707000636505,通行设施,临街院门,临街院门
B0FFHJTPLY,杭州国际博览中心(3号门),通行设施;临街院门;临街院正门,991401.0,奔竞大道与望博路交叉口北100米,[],萧山区,120.241216,30.228233,120.23673590993624,30.230688362949508,通行设施,临街院门,临街院正门
B0FFHJTUBF,杭州国际博览中心(2号门),通行设施;临街院门;临街院门,991400.0,奔竞大道与望博路交叉口西100米,[],萧山区,120.240377,30.227354,120.23589602067148,30.229809141094293,通行设施,临街院门,临街院门
B0FFH5SQ8P,杭州国际博览中心(西南门),通行设施;临街院门;临街院门,991400.0,奔竞二路西100米,[],萧山区,120.239487,30.227349,120.2350049675144,30.22980381575253,通行设施,临街院门,临街院门
B0FFH4JQLB,杭州国际博览中心(南1门),通行设施;临街院门;临街院门,991400.0,[],[],萧山区,120.240377,30.227354,120.23589602067148,30.229809141094293,通行设施,临街院门,临街院门
B0FFHXY7G6,利二花苑(东南1门),通行设施;临街院门;临街院门,991400.0,奔竞大道与民和路交叉口西南150米,[],萧山区,120.246828,30.236004,120.24235290101232,30.238460021047544,通行设施,临街院门,临街院门
B0FFHC3PPX,杭州国际博览中心(东南1门),通行设施;临街院门;临街院门,991400.0,奔竞大道353号,[],萧山区,120.241216,30.228233,120.23673590993624,30.230688362949508,通行设施,临街院门,临街院门
B0FFG4JKUZ,三宏国际(西南门),通行设施;临街院门;临街院门,991400.0,民和路525,[],萧山区,120.25362,30.231166,120.24915022566714,30.233622205356067,通行设施,临街院门,临街院门
B0FFF3401Q,万和国际(西南门),通行设施;临街院门;临街院门,991400.0,民和路与皓月路交叉口东150米,[],萧山区,120.255742,30.232194,120.25127325794128,30.234649728571487,通行设施,临街院门,临街院门
B0FFH6NL7P,利一家园(北门),通行设施;临街院门;临街院门,991400.0,书音路与盈丰路交叉口西150米,[],萧山区,120.246565,30.228984,120.24209024358264,30.23144047595145,通行设施,临街院门,临街院门
B0FFHJW9UD,利一家园(东1门),通行设施;临街院门;临街院门,991400.0,书音路与盈丰路交叉口西南100米,[],萧山区,120.247527,30.228818,120.24305309214957,30.23127458148156,通行设施,临街院门,临街院门
B0FFH6NLC1,利一家园(东南门),通行设施;临街院门;临街院门,991400.0,利丰路北50米,[],萧山区,120.246069,30.226917,120.24159396618374,30.22937355039652,通行设施,临街院门,临街院门
B0FFHXY8AT,利一家园(东2门),通行设施;临街院门;临街院门,991400.0,盈丰路393号附近,[],萧山区,120.247564,30.227455,120.2430902350442,30.229911674804736,通行设施,临街院门,临街院门
B0FFG4JOAZ,佳丰北苑(西门),通行设施;临街院门;临街院门,991400.0,博奥路与飞虹路交叉口北150米,[],萧山区,120.244205,30.224318,120.2397284022661,30.226774401088345,通行设施,临街院门,临街院门
B0FFG4I4ZX,浙江民营企业发展大厦(西北门),通行设施;临街院门;临街院门,991400.0,民和路东150米,[],萧山区,120.256103,30.231749,120.25163446429936,30.23420467305373,通行设施,临街院门,临街院门
B0FFHJTAS1,佳丰北苑(东北1门),通行设施;临街院门;临街院门,991400.0,市政路与飞虹路交叉口北200米,[],萧山区,120.248043,30.225156,120.24356982278076,30.227612858007426,通行设施,临街院门,临街院门
B0FFG4F5MP,浙江民营企业发展大厦(东南门),通行设施;临街院门;临街院门,991400.0,富业巷1,[],萧山区,120.256661,30.231039,120.25219277366486,30.23349457884408,通行设施,临街院门,临街院门
B0FFH6NL57,佳丰北苑(东北2门),通行设施;临街院门;临街院门,991400.0,市政路与飞虹路交叉口西北150米,[],萧山区,120.248075,30.224697,120.24360188668192,30.22715388947767,通行设施,临街院门,临街院门
B0FFG75QWG,佳丰北苑(东南2门),通行设施;临街院门;临街院正门,991401.0,飞虹路1077号,[],萧山区,120.24645,30.223538,120.241975586952,30.225994817362228,通行设施,临街院门,临街院正门
B0FFH230DR,丰北三苑(西南门),通行设施;临街院门;临街院门,991400.0,利丰路与金鸡路交叉口北100米,[],萧山区,120.252385,30.228658,120.2479146885564,30.23111453241012,通行设施,临街院门,临街院门
B0FFG4GS3F,佳丰北苑(东南1门),通行设施;临街院门;临街院门,991400.0,市政路与飞虹路交叉口西100米,[],萧山区,120.247952,30.223774,120.24347886081848,30.22623094097661,通行设施,临街院门,临街院门
B0FFF340TD,瑞丰南苑(北2门),通行设施;临街院门;临街院门,991400.0,宁围街道金二社区振宁路丰瑞南苑北门,[],萧山区,120.251833,30.214746,120.24736347315684,30.21720345413003,通行设施,临街院门,临街院门
B0FFGAQZ35,三宏国际大厦(东南门),通行设施;临街院门;临街院门,991400.0,民和路525,[],萧山区,120.254789,30.231135,120.25031986810028,30.2335910046568,通行设施,临街院门,临街院门
B0FFF3VMSI,丰瑞南苑(北1门),通行设施;临街院门;临街院门,991400.0,振宁路1523号,[],萧山区,120.25036,30.214656,120.24588946943176,30.21711354129428,通行设施,临街院门,临街院门
B0FFIKF2H4,三宏国际(南门),通行设施;临街院门;临街院门,991400.0,民和路525,[],萧山区,120.25446,30.23095,120.24999070932598,30.23340607956158,通行设施,临街院门,临街院门
B0FFG4EDRW,丰瑞北苑(东南2门),通行设施;临街院门;临街院门,991400.0,飞虹路1261号,[],萧山区,120.250609,30.224405,120.24613784935045,30.22686193615912,通行设施,临街院门,临街院门
B0FFH2522Y,丰北三苑(东北门),通行设施;临街院门;临街院门,991400.0,利丰路北100米,[],萧山区,120.254598,30.22913,120.25012893182706,30.231586176733,通行设施,临街院门,临街院门
B0FFH25P2F,丰北三苑(南门),通行设施;临街院门;临街院门,991400.0,利丰路与金鸡路交叉口东100米,[],萧山区,120.253421,30.227686,120.2489513954948,30.23014246824928,通行设施,临街院门,临街院门
B0FFF0E4VU,丰瑞南苑(西南2门),通行设施;临街院门;临街院正门,991401.0,文明路836号,[],萧山区,120.251817,30.21315,120.2473475932698,30.215607548103502,通行设施,临街院门,临街院正门
B0FFHJTMLL,万和国际(西北门),通行设施;临街院门;临街院门,991400.0,皓月路188,[],萧山区,120.256331,30.233379,120.25186243522414,30.235834503655667,通行设施,临街院门,临街院门
B0FFG4IIEN,丰北三苑(东南门),通行设施;临街院门;临街院门,991400.0,利丰路北50米,[],萧山区,120.254042,30.228661,120.2495726687418,30.23111730694648,通行设施,临街院门,临街院门
B0FFGZMQ4O,萧山区钱江世纪城幼儿园(西北门),通行设施;临街院门;临街院正门,991401.0,佳丰北苑15,[],萧山区,120.247842,30.225076,120.24336866294198,30.22753285027024,通行设施,临街院门,临街院正门
B0FFG4JH91,丰北二苑(西北门),通行设施;临街院门;临街院门,991400.0,利丰路南50米,[],萧山区,120.254317,30.228038,120.2498478705651,30.23049430089604,通行设施,临街院门,临街院门
B0FFHXXAOI,丰北二苑(西北2门),通行设施;临街院门;临街院门,991400.0,民和路455号附近,[],萧山区,120.256318,30.228653,120.25184981613126,30.23110882867722,通行设施,临街院门,临街院门
B0FFHXXDRB,丰北二苑(东北门),通行设施;临街院门;临街院门,991400.0,民和路441号附近,[],萧山区,120.256902,30.228188,120.252434111219,30.2306437052293,通行设施,临街院门,临街院门
B0FFHS0XN7,顺发·美哉美城(西南门),通行设施;临街院门;临街院门,991400.0,金鸡路与飞虹路交叉口南150米,[],萧山区,120.254417,30.223807,120.24994827082436,30.22626355793833,通行设施,临街院门,临街院门
B0FFHXWSQR,顺发·美哉美城(西北门),通行设施;临街院门;临街院门,991400.0,金鸡路与飞虹路交叉口东150米,[],萧山区,120.255548,30.225165,120.25107973947097,30.22762124133612,通行设施,临街院门,临街院门
B0FFGZ013M,金昌·春和钱塘(东南3门),通行设施;临街院门;临街院门,991400.0,金鸡路与飞虹路交叉口东北150米,[],萧山区,120.254986,30.225561,120.25051742610722,30.228017335811977,通行设施,临街院门,临街院门
B0FFGAQZSU,杭州市信息安全产业园(东北门),通行设施;临街院门;临街院门,991400.0,民和路485号附近,[],萧山区,120.255782,30.229906,120.2513134643202,30.23236187507568,通行设施,临街院门,临街院门
B0FFHXZDZ5,顺发·美哉美城(南门),通行设施;临街院门;临街院门,991400.0,扬帆路北50米,[],萧山区,120.256762,30.223085,120.25229446854168,30.225541074235377,通行设施,临街院门,临街院门
B0FFGZ012E,金昌·春和钱塘(东南2门),通行设施;临街院门;临街院门,991400.0,民和路与飞虹路交叉口西150米,[],萧山区,120.256672,30.226177,120.25220417636228,30.22863289978676,通行设施,临街院门,临街院门
B0FFGZ01EO,丰瑞北苑(东南3门),通行设施;临街院门;临街院门,991400.0,飞虹路1215号附近,[],萧山区,120.249587,30.224191,120.24511511955978,30.226647967936493,通行设施,临街院门,临街院门
B0FFGZ011H,丰瑞北苑(东南1门),通行设施;临街院门;临街院门,991400.0,仁孝路与飞虹路交叉口东北50米,[],萧山区,120.251265,30.224606,120.24679428791288,30.227062890757136,通行设施,临街院门,临街院门
B0FFGAR2KJ,瑞丰南苑(北3门),通行设施;临街院门;临街院门,991400.0,宁围街道振宁路,[],萧山区,120.253093,30.21485,120.24862425240936,30.21730731262504,通行设施,临街院门,临街院门
B0FFG4DVX0,丰瑞南苑(西南3门),通行设施;临街院门;临街院门,991400.0,文明路867号,[],萧山区,120.250396,30.213369,120.24592560060596,30.21582661502505,通行设施,临街院门,临街院门
B0FFGYZZ96,丰瑞南苑(西南1门),通行设施;临街院门;临街院门,991400.0,文明路817号附近,[],萧山区,120.252852,30.213108,120.2483832497397,30.21556544433256,通行设施,临街院门,临街院门
B0FFF3VGDZ,幸福时代(东2门),通行设施;临街院门;临街院门,991400.0,文明路468号附近,[],萧山区,120.268493,30.212904,120.26402837044208,30.2153549696365,通行设施,临街院门,临街院门
B023B0BKKU,顺丰家园(南1门),通行设施;临街院门;临街院门,991400.0,文明路580号,[],萧山区,120.262649,30.212861,120.25818409040652,30.215315453428754,通行设施,临街院门,临街院门
B0FFHXSF6A,顺丰家园(南4门),通行设施;临街院门;临街院门,991400.0,文明路600号附近,[],萧山区,120.261604,30.212914,120.25713888022942,30.215368941674964,通行设施,临街院门,临街院门
B0FFHXS2X0,顺丰家园(南5门),通行设施;临街院门;临街院门,991400.0,文明路619号附近,[],萧山区,120.260674,30.212936,120.25620865511952,30.21539134368185,通行设施,临街院门,临街院门
B0FFFGV1SC,幸福时代培训辅导中心(西门),通行设施;临街院门;临街院正门,991401.0,文明路468号,[],萧山区,120.268616,30.212947,120.2641513572982,30.21539788070861,通行设施,临街院门,临街院正门
B0FFHXOGIF,幸福时代(南1门),通行设施;临街院门;临街院门,991400.0,文明路467号附近,[],萧山区,120.268392,30.212694,120.2639273950464,30.215145052284825,通行设施,临街院门,临街院门
B0FFFGUVSD,幸福时代(东1门),通行设施;临街院门;临街院门,991400.0,文明路468号附近,[],萧山区,120.26835,30.213047,120.26388536914251,30.215498061251864,通行设施,临街院门,临街院门
B0FFFGUPHG,幸福时代(南2门),通行设施;临街院门;临街院门,991400.0,文明路500号附近,[],萧山区,120.267029,30.212809,120.26256444390653,30.215260962814035,通行设施,临街院门,临街院门
B0FFHXS2WY,顺丰家园(南1门),通行设施;临街院门;临街院门,991400.0,文明路549号附近,[],萧山区,120.264043,30.212858,120.25957829136831,30.215311735727205,通行设施,临街院门,临街院门
