osm_index,osm_name,osm_latitude,osm_longitude,osm_address,osm_postalcode,fsq_index,fsq_name,fsq_latitude,fsq_longitude,fsq_address,fsq_postalcode,label
osm_1928,Hillman Cancer Center,40.45491101,-79.94244315,"Centre Ave, 5115",15232,fsq_2519,Hillman Cancer Center,40.45521837,-79.94264037,5115 Centre Ave,15232,1
osm_28,Amazing Books,40.4340451,-79.9229022,"Murray Avenue, 2030",,fsq_715,Amazing Books,40.433989,-79.923112,2030 Murray Ave,15217,1
osm_719,200 Medical Arts Building,40.48988224,-79.89508867,,,fsq_635,UPMC medical arts building 200,40.4902399,-79.89607335,200 Delafield Rd,15215,1
osm_1260,Julia Ward Howe Elementary School,40.37495731,-80.03093314,"Broadmoor Avenue, 400",15234,fsq_1178,Julia Ward Howe School,40.37550229,-80.03095349,"400 Broadmoor Ave, at Audobon Ave",15228,1
osm_1548,2 Allegheny Center,40.45208453,-80.00397782,,,fsq_1658,Allegheny Center,40.45184694,-80.00627658,,,1
osm_412,Chatham Village,40.42974963,-80.01694929,,,fsq_1147,Chatham Village,40.42946187,-80.01709816,"Bigham St., Pennridge St.",15211,1
osm_1119,Children's Hospital of Pittsburgh of UPMC,40.46705369,-79.95291694,"Penn Avenue, 4401",15224,fsq_2614,Children's Hospital of Pittsburgh of UPMC Emergency Department,40.46705086,-79.95363459,4401 Penn Ave Fl 1,15224,1
osm_1815,Bon Air,40.4080343,-80.002968,,,fsq_2054,Bon Air T Station,40.40804736,-80.0031708,Clanton St,15226,1
osm_1424,Saint Nicholas Cemetery,40.47544303,-79.97797927,,,fsq_965,St Nicholas Cemetery,40.47526936,-79.97804787,,,1
osm_607,1 Allegheny Square,40.45202747,-80.00582455,,,fsq_2627,1 Allegheny Center,40.45180874,-80.00639334,1 Allegheny Ctr,15212,1
osm_167,Linden Elementary School,40.4460733,-79.9159383,,,fsq_1792,Linden Ave School,40.44645202,-79.91265932,725 S Linden Ave,15208,1
osm_2464,Saint Patrick Roman Catholic Church,40.4489135,-79.9849528,,,fsq_1912,St Patrick Roman Catholic Church,40.44760044,-79.98547046,"1711 Liberty Ave, 17th Street",15222,1
osm_2081,Matthews International Company,40.4476407,-80.0019404,,,fsq_870,Matthews International,40.44764895,-80.00244078,,15212,1
osm_2246,Shaare Torah Congregation,40.43093508,-79.92291649,,,fsq_2063,Shaare Torah,40.43115234,-79.9229126,Murray Avenue,15217,1
osm_1076,Payless ShoeSource,40.4315544,-79.9777051,2001,,fsq_1003,Payless ShoeSource,40.43109718,-79.97761022,"2001 Wharton St, East Carson St",15203,1
osm_2046,Crafton Park,40.43804982,-80.07396751,,,fsq_1961,Crafton Park,40.43862682,-80.07371387,49-53 Afton Ave,15205,1
osm_1768,Millvale Community Library,40.47886437,-79.97098385,,,fsq_1321,Millvale Community Library,40.47937068,-79.97212135,,,1
osm_2358,Dormont Pool,40.39652424,-80.04604873,,,fsq_2243,Dormont Pool,40.39720858,-80.04528777,,15216,1
osm_1999,East Liberty Presbyterian Church,40.46101386,-79.92494871,"South Highland Avenue, 116",15206,fsq_2599,East Liberty Presbyterian Church,40.46095023,-79.92556373,"116 S Highland Ave, Penn Ave",15206,1
osm_1869,Wood Street,40.44190437,-79.9996076,,,fsq_2048,Wood street,40.4379261,-80.00143864,,15222,1
osm_1581,Bluebird Kitchen,40.438949,-80.0055231,"Stanwix St, 11",,fsq_1853,Bluebird Kitchen,40.43898465,-80.00576923,11 Stanwix St,15222,1
osm_56,Brightside Academy,40.43677483,-80.00050933,"Smithfield Street, 4, 6",15222,fsq_1041,Brightside Academy,40.43732982,-80.00055403,5919 Penn Ave,15206,1
osm_994,Northgate Church,40.50098069,-80.01324719,"West View Avenue, 238",15229,fsq_199,Northgate Church,40.49826969,-80.0164988,238 W View Ave,15229,1
osm_1620,Wine & Spirits,40.4535275,-80.0009731,,,fsq_2660,Wines and spirits,40.45346956,-80.00093799,416 E Ohio St,15212,1
osm_1779,Foster Plaza 5,40.42215126,-80.06107902,"Holiday Drive, 651",15220,fsq_823,Foster Plaza 5,40.42213065,-80.06080063,651 Holiday Dr,15220,1
osm_221,Three Gateway Center,40.44204436,-80.00493988,,,fsq_40,Three Gateway Center,40.44183575,-80.00555277,401 Liberty Ave,15222,1
osm_2009,Oakland Catholic High School,40.44891048,-79.94969375,,,fsq_1687,Oakland Catholic High School,40.44881233,-79.94966795,,15213,1
osm_731,Foster Plaza 6,40.42091802,-80.06306808,"Andersen Drive, 681",15220,fsq_2642,Foster Plaza Building 6,40.42144343,-80.06262182,600 Andersen Drive,15220,1
osm_2025,In The Blood Tattoo,40.4290775,-79.9772926,"East Carson Street, 2005",15203,fsq_824,In The Blood Tattoo,40.42860529,-79.9773946,2005 E Carson St,15203,1
osm_2373,Saint Pius X Byzantine Catholic Church,40.38795726,-79.98512392,,,fsq_922,St. Pius X Byzantine Catholic Church,40.38887807,-79.98538965,2336 Brownsville Rd,15210,1
osm_1721,Braddock Carnegie Library,40.4009336,-79.8656608,,,fsq_553,Braddock Carnegie Library,40.40163156,-79.86522667,"419 Library St, Braddock Ave",15104,1
osm_951,Holland Hall,40.44296104,-79.95608682,,,fsq_2411,Holland Hall,40.44296071,-79.95637163,3990 5th Ave,15213,1
osm_2391,South Hills Junction,40.4210224,-80.0072689,,,fsq_271,Port Authority South Hills Junction,40.42101853,-80.00705193,W. Warrington Ave.,15210,1
osm_1870,Subway,40.4519048,-79.95159011,"Centre Avenue, 4613",15213,fsq_2631,Subway,40.45207766,-79.95159638,4613 Centre Ave,15213,1
osm_1910,Mt. Lebanon Floral,40.3789259,-80.0449301,"Washington Road, 725",15228,fsq_1465,Mt. Lebanon Floral,40.38096341,-80.04304829,300 Washington Rd,,1
osm_564,American Natural,40.4309749,-80.0012277,"East Carson Street, 73",15219,fsq_2393,American Natural,40.43101039,-80.00110202,73 E Carson St,15219,1
osm_2316,Pittsburgh Obama Academy of International Studies 6-12,40.46695305,-79.9230973,,,fsq_1778,Obama Academy of International Studies,40.46704779,-79.9226124,515 N Highland Ave,15206,1
osm_1655,Two Chatham Center,40.43922098,-79.9916708,,,fsq_1286,Two Chatham Center,40.43937794,-79.99151945,115 Washington Pl.,15219,1
osm_1761,Hyland Hills Apartments,40.41798692,-80.03696436,,,fsq_1873,Hyland Hills Apartment Complex,40.41875013,-80.03384656,,,1
osm_557,Speedway,40.41899712,-79.92693365,"Browns Hill Road, 4420",,fsq_1045,Speedway,40.41916427,-79.92746522,"4420 Browns Hill Rd, Hazelwood Rd",15217,1
osm_934,Castle Shannon Volunteer Firemens Memorial Hall,40.36591559,-80.01709862,,,fsq_2334,Castle Shannon Fire Hall,40.36599859,-80.01662135,3600 Library Rd,15234,1
osm_529,Greyhound Pittsburgh,40.4450487,-79.9933324,,,fsq_2183,Pittsburgh Greyhound Bus Station,40.44459527,-79.99354334,"55 11th St, btwn Penn & Liberty",15222,1
osm_855,Sto-Rox Senior High School,40.47060784,-80.0742189,"Valley Street, 1105",15136,fsq_2739,Sto-Rox High School,40.47061365,-80.07383746,1105 Valley St,15136,1
osm_885,Bellevue Beer,40.4910073,-80.06103415,,,fsq_1529,Bellevue Beer,40.491016,-80.06114,4489 Ohio River Blvd,15202,1
osm_813,Jewish Community Center,40.43698629,-79.92386809,,,fsq_2009,Jewish Community Center,40.43759121,-79.92386268,5738 Forbes Ave,15217,1
osm_1775,Castle Shannon,40.36823921,-80.03026464,,,fsq_138,Castle Shannon T Station,40.36835998,-80.03024385,"750 Castle Shannon Blvd, Mt Leanon Blcd",15228,1
osm_836,McKees Rocks Post Office,40.46498262,-80.06458331,"Chartiers Avenue, 807",15136,fsq_631,US Post Office,40.46558453,-80.06460965,"807 Chartiers Ave, May",15136,1
osm_1502,Mt. Lebanon Fire Department,40.3829488,-80.0429799,"Washington Road, 555",15228,fsq_1198,Mt. Lebanon Fire Department,40.38325411,-80.04381923,555 Washington Rd,15228,1
osm_1074,Quizno's,40.4453626,-79.9490016,"S Craig St, 300",15213,fsq_1807,Quiznos,40.44534977,-79.94895137,"300 S Craig St, Filmore St",15213,1
osm_1742,Las Palmas Carniceria,40.3950529,-80.0220195,"Brookline Boulevard, 700",15226,fsq_360,Las Palmas Carcineria,40.394543,-80.02148,700 Brookline Blvd,15226,1
osm_1380,Castle Shannon Volunteer Fire Department,40.36604886,-80.0169543,,,fsq_1264,Castle Shannon Fire department,40.3656048,-80.01727286,,15234,1
osm_753,Squirrel Hill Post Office,40.43701746,-79.92298657,"Murray Avenue, 1800",15217,fsq_50,Squirrel Hill Post Office Parklet,40.436882,-79.92305,"1800 Murray Ave, Darlington Rd",15217,1
osm_577,Cogo's,40.42838988,-79.97104219,"East Carson Street, 2401",15203,fsq_289,CoGo's,40.42827437,-79.9708049,"2401 E Carson St, at 24th St.",15203,1
osm_1151,Bouquet Gardens Building G,40.44099534,-79.95601494,,,fsq_1340,Bouquet Gardens Building G,40.44070988,-79.95575989,,15213,1
osm_720,Tepper School of Buisness,40.44095731,-79.94196615,,,fsq_235,Tepper School of Business,40.44115182,-79.94209987,Carnegie Mellon University,15213,1
osm_1538,Memorial Hall,40.36664767,-80.01612855,,,fsq_2535,Memorial Hall T Station,40.36653462,-80.01620824,"Grove Rd, btwn Library Rd and Willow Ave",15234,1
osm_2412,River Vue,40.44059814,-80.00628033,"Liberty Avenue, 500",15222,fsq_164,Rivervue,40.44048213,-80.00598172,,15222,1
osm_1371,Carnegie Science Center,40.44607989,-80.01794859,"Allegheny Avenue, 1",15212,fsq_1396,Carnegie Science Center,40.44561035,-80.01818982,1 Allegheny Ave,15212,1
osm_164,Giant Eagle,40.43604882,-79.92195314,"Murray Avenue, 1901",15217,fsq_1232,Giant Eagle Supermarket,40.43564779,-79.92278446,"1901 Murray Ave, Beacon St.",15217,1
osm_521,Foster Plaza 3,40.42191805,-80.05896657,"Holiday Drive, 601",15220,fsq_96,Foster Plaza Building 3,40.42151086,-80.06253461,601 Holiday Dr,15220,1
osm_1350,Schenley Oval,40.43277803,-79.94199414,,,fsq_2539,Schenley Park Oval,40.43211203,-79.94343351,1 Overlook Dr,15238,1
osm_2139,Green Tree Public Library,40.4190063,-80.0470241,,,fsq_1715,Green Tree Public Library,40.41851,-80.046776,10 W Manilla Ave,15220,1
osm_1685,Subway,40.4395339,-80.0013783,,,fsq_1500,Subway,40.43944862,-80.00139423,"401 Wood St, 4th Ave",15222,1
osm_1427,Soldier's and Sailor's Lawn,40.44467485,-79.95561437,,,fsq_1577,Soldiers & Sailors Lawn,40.4455496,-79.95795616,"Fifth Ave, Btwn University Place & Bigelow Blvd",15213,1
osm_538,Union Project,40.4718981,-79.9264503,,,fsq_2042,Union Project,40.47193142,-79.92649652,"801 N Negley Ave, at Stanton Ave.",15206,1
osm_133,Exterminator,40.38944475,-79.8680475,,,fsq_957,Exterminator Batcave,40.389239,-79.867649,,,1
osm_1422,CVS Pharmacy,40.4518223,-79.952033,,,fsq_304,CVS Pharmacy,40.44915777,-79.95035092,4610 Centre Ave,15213,1
osm_2377,Federal Galley,40.45151434,-80.00603116,,,fsq_1632,Federal Galley,40.451525,-80.005708,200 Children’s Way,15212,1
osm_63,Monongahela Incline Lower Station,40.43245383,-80.00503616,,,fsq_1410,Monongahela Incline (lower station),40.43247291,-80.0049115,"W Carson St, Wabash Tunnel",,1
osm_1288,Rite Aid,40.4409465,-79.9569812,,,fsq_1366,Rite Aid,40.440865,-79.957019,"209 Atwood St, btwn Forbes Ave & Sennott St",15213,1
osm_2302,St. Pius X Catholic Church,40.3954097,-80.0289888,,,fsq_1036,St. Pius X Roman Catholic Church,40.39536045,-80.02885732,3040 Pioneer Ave,15226,1
osm_558,UPMC Mercy,40.43590953,-79.98601471,"Locust Street, 1400",15219,fsq_216,UPMC Mercy,40.43679085,-79.98575446,1400 Locust St,15219,1
osm_1176,Aladdin's Eatery,40.3820048,-80.0439914,"Washington Road, 630",15228,fsq_2291,Aladdin's Eatery,40.38187172,-80.04425043,630 Washington Rd,15228,1
osm_2123,West End Overlook,40.44601702,-80.03298025,,,fsq_1259,West End Overlook,40.44578504,-80.03376468,,15220,1
osm_605,Schenley Park,40.4340762,-79.94187437,,,fsq_1721,Schenley Park,40.43440488,-79.94167328,,15213,1
osm_146,100 Medical Arts Building,40.4902834,-79.8957277,,,fsq_2417,UPMC Medical Arts Building 100,40.49020004,-79.89569855,,,1
osm_695,Giant Eagle Supermarket,40.45136881,-79.99968397,,,fsq_571,Giant Eagle Supermarket,40.45146409,-80.00008111,"318-320 Cedar Ave, Lockhart Street",15212,1
osm_37,Sharpsburg Volunteer Fire Department,40.493979,-79.9250363,,,fsq_2564,Sharpsburg Volunteer Fire Department,40.49448668,-79.92502812,,,1
osm_1245,Margaret Morrison Apartments,40.44205215,-79.93798755,,,fsq_1521,Margaret Morrison A6,40.44209093,-79.94107294,,15213,1
osm_1133,St Rosalia-Old school,40.42606973,-79.94298133,,,fsq_214,St. Rosalia School,40.42726325,-79.94130791,411 Greenfield Ave,15207,1
osm_1592,Rasta House,40.45611,-80.0070678,,,fsq_427,Rasta House,40.455988,-80.006676,,,1
osm_453,Gavino's Pizzeria,40.46497778,-80.05967223,"Chartiers Avenue, 528",15136,fsq_162,Gavino's Pizzeria,40.46551823,-80.05967795,"528 Charities Ave, Furnace Ave",15136,1
osm_763,Kristas Cantina,40.4670458,-80.0339306,"California Avenue, 2650",15212,fsq_875,Krista's Cantina,40.46695016,-80.03437243,2650 California Ave,15212,1
osm_899,The Big Easy Animal Hospital,40.4829312,-79.9549568,"McCandless Avenue, 12",15201,fsq_1645,The Big Easy Animal Hospital,40.48264262,-79.95166322,5328 Butler St,15201,1
osm_704,Union Station,40.44431433,-79.99197623,"Liberty Avenue, 1100",,fsq_699,Union Station,40.444058,-79.99257568,1100 Liberty Ave,15222,1
osm_741,Winchester Thurston School,40.45202358,-79.94235613,,,fsq_1342,Winchester Thurston School,40.45141267,-79.94294694,555 Morewood Ave,15213,1
osm_348,Environmental Charter School,40.445032,-79.8960056,,,fsq_1347,Environmental Charter School,40.4357101,-79.89700413,829 Milton St,15218,0
osm_986,Piccadilly Artisan Yogurt,40.3803559,-80.0439399,"Washington Road, 695",15228,fsq_2531,Piccadilly Artisan Yogurt,40.380415,-80.044548,,,1
osm_1271,Pittsburgh Union Station,40.4449645,-79.9909371,,,fsq_2405,Amtrak - Pittsburgh Station (PGH),40.44471651,-79.99224266,1100 Liberty Ave,15222,1
osm_1490,McFadden's Saloon,40.4464526,-80.0076755,,,fsq_175,McFadden's,40.44643247,-80.00768793,"211 N Shore Dr, at Mazeroski Way",15212,1
osm_1470,Bouquet Gardens Building C,40.44033348,-79.95509664,,,fsq_2458,Bouquet Gardens - Building C,40.44006847,-79.95516759,265 Oakland Ave,15213,1
osm_2199,Pat Catan's,40.46555451,-80.07363112,"Chartiers Avenue, 1250",15136,fsq_229,Pat Catan's,40.46523704,-80.07343883,1250 Chartiers Ave,15136,1
osm_291,East Liberty Lutheran Church,40.46306639,-79.928155,,,fsq_482,East Liberty Lutheran Church,40.46292,-79.928,,15206,1
osm_2237,Allegheny County Department of Human Services,40.43710849,-80.00102429,"Smithfield Street, 1",15222,fsq_1091,Allegheny County Human Services Building,40.43690848,-80.00092408,1 Smithfield St,15222,1
osm_1299,Walking to the Sky,40.4439403,-79.9430881,,,fsq_298,Walking to The Sky,40.44442103,-79.94284884,Carnegie Mellon University,15213,1
osm_630,Canevin Hall (DU),40.43595425,-79.99229625,,,fsq_1328,Canevin Hall,40.43617916,-79.99233539,600 Forbes Ave,15219,1
osm_271,Foster Plaza 4,40.42194916,-80.05797966,"Holiday Drive, 501",15220,fsq_408,Foster Plaza Building 4,40.42232988,-80.05849648,Holiday Drive,,1
osm_1486,Pittsburgh Police Department Zone 3,40.4216752,-79.9919607,"East Warrington Avenue, 830",15210,fsq_563,City of Pittsburgh - Police Zone 3,40.42186641,-79.99232174,830 E Warrington Ave,15210,1
osm_1085,Barrett Elementary School,40.4048945,-79.90800699,"East 12th Avenue, 221",,fsq_2319,Barrett Elementary School,40.40485451,-79.90743338,225 E. 12th Ave.,15120,1
osm_1833,Work Hard Pittsburgh,40.4216419,-79.9941254,"East Warrington Avenue, 744",15210,fsq_1674,Work Hard Pittsburgh,40.42170281,-79.99411367,744 E Warrington Ave,15210,1
osm_1107,Allegheny Commons East Park,40.4518663,-80.00206257,,,fsq_2132,Allegheny Commons East Park,40.45463872,-80.00274917,"E North Ave, Cedar Ave",15212,1
osm_2176,D's Six Packs and Dogs,40.4320659,-79.8940233,"South Braddock Avenue, 1118",15221,fsq_3,D's Six Pax & Dogz,40.43212234,-79.89359359,1118 S Braddock Ave,15218,1
osm_894,Carnegie Mellon University,40.44506603,-79.94465256,,,fsq_834,Carnegie Mellon University,40.44379301,-79.94335701,5000 Forbes Ave,15213,1
osm_1635,Pittsburgh Steak Company,40.42833948,-79.97790146,"East Carson Street, 1924",15203,fsq_802,Pittsburgh Steak Company,40.42857163,-79.97804821,1924 E Carson St,15203,1
osm_83,AutoZone,40.37692875,-79.98707515,"Saw Mill Run Boulevard, 2900",,fsq_2667,AutoZone,40.3770328,-79.9867752,2900 Saw Mill Run Blvd,15227,1
osm_319,Giant Eagle,40.48918691,-80.04422045,"Brighton Road, 4110",15212,fsq_1235,Giant Eagle Pharmacy,40.4891542,-80.0441373,4110 Brighton Road Brighton Road & Bascom Street,15212,1
osm_1824,Elm Leaf Park,40.37960517,-79.95753438,,,fsq_943,Elm Leaf Park,40.38326361,-79.95620243,,,1
osm_2282,East Ohio St at Grant Ave,40.4779413,-79.9689084,,,fsq_1903,East Ohio St. & Grant St.,40.47823891,-79.96967962,603-685 Allegheny Valley Expy,15209,1
osm_1083,All About Eyes,40.3883629,-80.0499993,"Beverly Road, 315",15216,fsq_2169,all about eyes,40.38851146,-80.0501156,"315 Beverly Rd, Overlook Dr",15216,1
osm_220,UPMC Shadyside,40.45552248,-79.94209595,"Centre Avenue, 5230",15232,fsq_461,UPMC Shadyside,40.45491534,-79.93942269,5230 Centre Ave,15232,1
osm_724,McBride Park,40.37020576,-79.90608326,,,fsq_1170,McBride Park,40.37026932,-79.90746975,Mcbride Avenue,15207,1
osm_1711,Bouquet Gardens Building E,40.44102612,-79.95491207,,,fsq_1359,Bouquet Gardens Building E,40.441008,-79.95509335,,15213,1
osm_1064,Crossfit Mt. Lebanon,40.3860454,-80.0429927,"Washington Road, 427",15228,fsq_359,Bikram Yoga Mt Lebanon,40.38037991,-80.04462104,704 Washington Rd,15228,0
osm_1914,Carnegie Park,40.4035878,-80.07320557,,,fsq_616,Carnegie Station,40.40590053,-80.09089673,,15106,0
osm_1250,Bellefield Presbyterian Church,40.44364395,-79.95672986,,,fsq_1573,Bellefield Presbyterian Church,40.4436,-79.95674706,"4001 5th Ave, Thackery St",15213,1
osm_558,UPMC Mercy,40.43590953,-79.98601471,"Locust Street, 1400",15219,fsq_2569,UPMC Mercy Inpatient Rehab,40.43703184,-79.98610946,1400 Locust St,15219,0
osm_740,East Building,40.43027328,-79.99594527,,,fsq_1726,Taste Buds,40.4290862,-80.00700312,"1 Virginia Ave, btwn Thorpe & Southern",15211,0
osm_2178,Laundromat,40.4521726,-79.9505945,,,fsq_1851,Bloomers Laundromat,40.464535,-79.951796,,,0
osm_733,Cupka's Cafe,40.42791606,-79.9719044,"East Carson Street, 2314",15203,fsq_2412,Jazzman's Cafe,40.43639741,-79.9562645,409 Cato St,15213,0
osm_165,Shadyside Plaza,40.45838615,-79.92469349,,,fsq_1322,UPMC Shadyside Helipad,40.45422858,-79.93872085,,15232,0
osm_1532,Roselawn Houses,40.4420452,-79.937925,,,fsq_2179,Scobell House,40.44137323,-79.939551,"Margaret Morrison St, Carnegie Mellon University",15213,0
osm_635,Dunkin' Donuts,40.4419154,-79.9559829,,,fsq_1327,Dunkin' Donuts,40.44217779,-79.95618065,3907 Forbes Ave,15213,1
osm_1659,CoGo's,40.4729092,-80.0619462,"Island Avenue, 721",15136,fsq_728,cogo's,40.47322296,-80.06258644,"Island Ave, McKees Rocks, PA 15136",15136,1
osm_2157,Pashek Associates,40.45401098,-79.99795205,,,fsq_400,Northside Associates,40.4546718,-80.0174854,1300 Brighton Rd,15233,0
osm_1856,Foster Zero,40.42130669,-80.05503766,"Holiday Drive, 400",15220,fsq_416,Fosters,40.42110128,-80.06067216,680 Andersen Dr,15220,0
osm_1142,Pittsburgh Renaissance,40.4440169,-80.0019349,,,fsq_10,PCN Pittsburgh Bureau,40.44035862,-80.00662057,34 Blvd of the Allies,15222,0
osm_1534,Squirrel Hill News Stand,40.438025,-79.922647,,,fsq_1489,Squirrel Hill Locksmith,40.434521,-79.922889,,15217,0
osm_548,Pittsburgh News,40.4429325,-80.0019725,,,fsq_1596,Pittsburgh Hail Storm,40.4434,-80.01526773,,15206,0
osm_1917,Missionary Temple Church of God in Christ,40.46300615,-79.9209333,,,fsq_1456,Morningside Church of God in Christ,40.46557236,-79.9400177,,15224,0
osm_1202,X Shadyside,40.45159886,-79.93175534,,,fsq_2596,Shadyside Hideaway,40.45789569,-79.9255162,228 S Highland Ave Rear,15206,0
osm_1264,Shadyside Place,40.45341375,-79.93808054,"South Aiken Avenue, 580",15232,fsq_2721,Shadyside Market,40.45088248,-79.93489722,5414 Walnut St,15232,0
osm_318,West Park American Hardware,40.4727814,-80.0740876,,,fsq_2008,West Park American Hardware,40.47255301,-80.07396841,713 Broadway Ave,15136,1
osm_188,Oak Hill Apartments,40.44085607,-79.96890233,,,fsq_945,The Dakota Apartments,40.4517989,-79.95082533,"259 Melwood Ave, Centre",15213,0
osm_2101,Bellevue Tobacco,40.4969191,-80.0590953,"Lincoln Avenue, 615",,fsq_2100,Bellevue Chiropractic,40.4984545,-80.06096032,,15202,0
osm_1264,Shadyside Place,40.45341375,-79.93808054,"South Aiken Avenue, 580",15232,fsq_1718,Alder Place,40.45692051,-79.92693228,"5944 Alder St, Spahr Street",15232,0
