,e_name,e_category,e_type
110,尼古拉专业儿童摄影,亲子 儿童摄影,0
111,同曦鸣城艺术家园,生活服务 小区,1
112,土耳其烤肉桶饭,美食 小吃,0
113,暴龙眼镜,购物 眼镜店,0
114,史努博管理有限公司,丽人 美容/SPA,0
115,ve de Vone's,购物 服装,0
116,DOUP AI,购物 其他服饰鞋包,0
117,五洋百货翠屏广场,购物 综合商场,1
118,地碳屋,美食 更多食品保健,0
119,凯兰泽工厂店,购物 其他服饰鞋包,0
120,果盒子,美食 水果店,0
121,中国电信,生活服务 电信营业厅,0
122,苏π24H便利店,购物 超市/便利店,0
123,muscle&angels健身,运动健身 健身房,0
124,秀贤与恩熙韩式年糕火锅,美食 韩国料理,0
125,秦淮坊金陵鸭血粉丝,美食 快餐简餐,0
126,今日浪莎养生会馆,休闲娱乐 按摩/足疗,0
127,邢青松固城湖螃蟹,美食 生鲜,0
128,托尼琼斯,购物 鞋靴,0
129,F.NY,购物 服装,0
130,南京可码软件科技有限公司,生活服务 公司企业,0
131,SATURDAYMODE,购物 鞋靴,0
132,Lile fit轻食健身餐,美食 其他美食,0
133,瑞桥眼睛,购物 眼镜店,0
134,优优花坊,购物 花店,0
135,太平花苑,生活服务 小区,1
136,明大人力资源,生活服务 人才服务,0
137,乐尚轮滑,亲子 轮滑,0
138,白下元宵铺店,美食 面馆,0
139,华德仕汉堡炸鸡,美食 快餐简餐,0
140,lining李宁,购物 运动户外,0
141,Hellonanjing公寓,酒店 经济型,0
142,锛烁智能,购物 数码产品,0
143,南京托乐嘉小区-友邻居,生活服务 小区,1
144,永缘宾馆,酒店 经济型,0
145,金王府商业街,景点 观光街区,1
146,停车场,爱车 停车场,0
147,韩博士,教育培训 STEM创客教育,0
148,百家湖花园·罗马城,生活服务 小区,1
149,轮库,爱车 维修保养,0
150,兴业银行ATM,生活服务 ATM自助网点,0
151,百家湖1912街区,景点 观光街区,1
152,玺云记大骨煲酸菜鱼,美食 酸菜鱼/水煮鱼,0
153,拼一碗！蛋包饭,美食 日式简餐/快餐,0
154,紫燕百味鸡,美食 熟食熏酱,0
155,智童教育,亲子 综合教育,0
156,新街坊,生活服务 商务楼,1
157,eifini,购物 快时尚,0
158,晋家门,美食 西北菜,0
159,蜜语巴黎,美食 甜品,0
160,火麒麟·和牛烧肉专门店,美食 日式烧烤/烤肉,0
161,托乐嘉小区友邻居-10幢,生活服务 小区,1
162,万尚城,购物 综合商场,1
163,Uberhome,购物 杂货礼品,0
164,零距离健身会所,运动健身 健身房,0
165,锦江之星旅馆,酒店 经济型,0
166,绝味烧烤,美食 烧烤,0
167,叫份鸡,美食 小吃,0
168,平安银行,生活服务 营业网点,0
169,韵酒店公寓,酒店 舒适型,0
170,鹿遇鲜花flower,购物 花店,0
171,斗牛家烤牛肉,美食 融合烤肉,0
172,非尝烤翅吧,美食 烧烤,0
173,丑丑服装,购物 服装,0
174,东城美甲,丽人 美甲,0
175,富安娜家居生活馆,家装 床品家纺,0
176,公共厕所,生活服务 厕所,0
177,金穗科技苑中心机房楼,生活服务 商务楼,1
178,broadcast:播,购物 服装,0
179,Godiva,美食 冰淇淋,0
180,哈妮妈妈,美食 其他美食,0
181,MIA HOUSE日式美甲美睫工作室,丽人 美甲,0
182,象印,家装 家饰餐厨,0
183,太平农贸,生活服务 小区,1
184,临南京南站百家湖胜太路近三号线地铁站胜太西路站夫子庙、总统府秦淮河可直达现代简约大床房,其它 榛果民宿,0
185,聪颖宝贝母婴用品,亲子 婴儿游泳,0
186,昌鹰研发楼,生活服务 商务楼,1
187,天福茗茶,购物 烟酒茶叶,0
188,老曹六鲜面,美食 面馆,0
189,SAIchi,购物 箱包,0
190,碎片工坊,休闲娱乐 DIY手工坊,0
191,南京楚合教育,教育培训 中小学综合辅导,0
192,蓝鲸派高端别墅轰趴,生活服务 小区,1
193,川和茶业,购物 烟酒茶叶,0
194,久享吃黄金鸡柳,美食 其他美食,0
195,QQ便当,美食 快餐简餐,0
196,Dream House梦想之家音乐西餐厅,美食 其他美食,0
197,EXULL SHOES SHOP,购物 其他服饰鞋包,0
198,苗方净颜,丽人 美容/SPA,0
199,TOP休闲坊,购物 超市/便利店,0
200,捌点半主题原创鬼屋,休闲娱乐 密室,0
201,最小面,美食 面馆,0
202,享办公创业园,生活服务 商务楼,1
203,善存药店,医疗健康 药店,0
204,百味居,美食 南京/江浙菜,0
205,焰鱼烤鱼烧烤·川菜龙虾馆,美食 烤鱼,0
206,百家湖西苑,生活服务 小区,1
207,平泰街手机卖场,购物 数码产品,0
208,Happy Go,购物 眼镜店,0
209,南京舞魅天下舞蹈培训中心,丽人 舞蹈,0
210,爱心报刊亭,生活服务 书刊订阅,0
211,简约中式快餐,美食 快餐简餐,0
212,锦绣金陵鸭血粉丝汤,美食 快餐简餐,0
213,九陌火锅,美食 重庆火锅,0
214,TOREADKIDS,亲子 儿童服饰,0
215,超级女生,购物 更多购物场所,0
216,SeRina,购物 服装,0
217,LAIDEE,购物 服装,0
218,泉味源黄焖鸡米饭,美食 黄焖鸡,0
219,报刊亭,生活服务 书刊订阅,0
220,雅丽清真披萨咖啡店,美食 西餐,0
221,怡湖华庭,生活服务 小区,1
222,一鸣真鲜奶吧,美食 茶饮果汁,0
223,翠屏国际梧桐苑,生活服务 小区,1
224,博盈装饰,家装 装修设计,0
225,百姓人家常菜馆,美食 苏浙菜,0
226,小叙府川菜,美食 川菜家常菜,0
227,艾尚接法烫染沙龙,丽人 美发,0
228,薛老师钢琴沙龙,教育培训 西洋乐器,0
229,3107的故事,美食 水果店,0
230,后书店时代,购物 书店音像,0
231,中国联通,生活服务 联通营业厅,0
232,丽宴精菜馆,美食 其他中餐,0
233,吉祥馄饨,美食 馄饨,0
234,爱玛仕凉皮,美食 快餐简餐,0
235,TOEBOX,购物 其他服饰鞋包,0
236,易居网盟伍玖玖房产,生活服务 房产中介,0
237,绝味鸭脖,美食 卤味鸭脖,0
238,托乐嘉城市广场,生活服务 商务楼,1
239,Sorella,购物 内衣,0
240,滋烩拉面,美食 面馆,0
241,百家湖国际花园,生活服务 小区,1
242,华宝通讯,购物 数码产品,0
243,西面来风中华扯面,美食 快餐简餐,0
244,水晶蓝湾公寓酒店百家湖全日制餐厅,酒店 民宿,0
245,瑞余羊肉龙虾,美食 烧烤,0
246,快乐树小儿推拿中心,休闲娱乐 按摩/足疗,0
247,格格鸡,美食 炸鸡炸串,0
248,C&T儿童乐园,亲子 儿童主题乐园,0
249,豪琪气动元件,家装 家用五金,0
250,克丽缇娜,丽人 美容/SPA,0
251,南京航空航天大学将军路校区博园学生公寓6,生活服务 商务楼,1
252,一阳美睫造型,丽人 美睫,0
253,枫情国度佳园,生活服务 小区,1
254,胜太商住楼,生活服务 商务楼,1
255,KMminister熊本熊实体店,美食 茶饮果汁,0
256,仲景公寓,生活服务 小区,1
257,乐友派别墅轰趴馆,休闲娱乐 轰趴馆,0
258,我是螺蛳粉,美食 小吃快餐,0
259,DQ,美食 冰淇淋,0
260,唯玩,家装 家用电器,0
261,弘安投资,生活服务 保险公司,0
262,品桂坊桂林米粉,美食 米线,0
263,柚见檬,美食 茶饮果汁,0
264,贵人鸟运动休闲,购物 其他服饰鞋包,0
265,孔雀全民厨房,美食 西餐,0
266,新疆副食品,美食 新疆菜,0
267,让我来,美食 水果店,0
268,ManiForm曼妮芬,购物 内衣,0
269,科技·商务e街区,生活服务 公司企业,0
270,胥度,购物 服装,0
271,罗罐中,美食 米线,0
272,诚富汽修,爱车 维修保养,0
273,贝特美美容养生会所,丽人 美容/SPA,0
274,25小时鲜花,购物 花店,0
275,钟意鲜花,购物 花店,0
276,袁记烧烤,美食 快餐简餐,0
277,小扳手·海鲜烧烤,美食 烧烤,0
278,BeLLE,购物 鞋靴,0
279,清真·Zaika乍伊卡印度餐厅,美食 东南亚菜,0
280,无华山房,美食 更多食品保健,0
281,胜太路地铁站,生活服务 地铁站,1
282,肥叔锅贴,美食 生煎/锅贴,0
283,炫发造型,丽人 美发,0
284,湖滨世纪花园春水苑-17-1幢A座,生活服务 商务楼,1
285,疯狂薯条,美食 小吃,0
286,礼物概念,购物 杂货礼品,0
287,采蝶轩,美食 粤菜馆,0
288,伊泰莲娜,购物 饰品,0
289,白茶,购物 烟酒茶叶,0
290,严家大个馄饨,美食 馄饨,0
291,爬山虎科技公司,生活服务 公司企业,0
292,中国工商银行atm,生活服务 ATM自助网点,0
293,萍萍花坊,购物 花店,0
294,蓝宝湾,生活服务 小区,1
295,珂洛丽美甲,丽人 美甲,0
296,芝士烤番薯,美食 韩国料理,0
297,俪诗科技,生活服务 公司企业,0
298,3D-JP拼图店,休闲娱乐 DIY手工坊,0
299,大相扑日料,美食 日本料理,0
300,帝娜朵拉意大利手工冰淇淋·咖啡,美食 冰淇淋,0
301,南京上海大众,爱车 4S店,0
302,法剪美发,丽人 美发,0
303,老庙黄金,结婚 品牌珠宝,0
304,耍牛忙·串串香,美食 串串香,0
305,明唐·美娅,购物 其他服饰鞋包,0
306,路飞联萌,美食 快餐简餐,0
307,水果蛋糕,美食 面包烘焙,0
308,湖滨世纪花园,生活服务 小区,1
309,快乐柠檬,美食 茶饮果汁,0
310,HIGHDAY,购物 服装,0
311,弘阳家居,购物 综合商场,1
312,秋山苑,生活服务 小区,1
313,来伊份,美食 零食,0
314,陕西魏家凉皮店,美食 快餐简餐,0
315,清源小镇,景点 旅游其他,0
316,伊利冷饮,美食 冰淇淋,0
317,峦左,购物 其他服饰鞋包,0
318,好食上茶餐厅,美食 茶餐厅,0
319,老坛酸菜鱼,美食 酸菜鱼/水煮鱼,0
320,悦满庭饭店·宴会厅,结婚 餐厅婚宴,0
321,安子酸菜鱼土菜馆,美食 酸菜鱼/水煮鱼,0
322,UK美发,丽人 美发,0
323,百福源茶,购物 烟酒茶叶,0
324,隆泰堂足疗推拿养生馆,休闲娱乐 按摩/足疗,0
325,景枫kingmo,购物 综合商场,1
326,同曦广场,购物 综合商场,1
327,strich,购物 服装,0
328,交通银行,生活服务 营业网点,0
329,唐氏烧烤,美食 融合烤肉,0
330,九牧洁具,家装 厨卫洁具,0
331,南京航空航天大学,教育培训 大学,1
332,爱琪宠物医院,宠物 宠物医院,0
333,中国民生银行ATM,生活服务 ATM自助网点,0
334,千惠造型,丽人 美发,0
335,菲斯瑞尔奢侈品保养及修复中心,生活服务 皮具洗护,0
336,西悦牛排,美食 西餐,0
337,同曦鸟语花香花店,购物 花店,0
338,秦食民悦,美食 快餐简餐,0
339,geeiulo,购物 内衣,0
340,美一养生,丽人 SPA美体,0
341,威特斯洗衣,生活服务 洗衣店,0
342,VASILIA法斯丽娅SPA会所,丽人 SPA美体,0
343,大叻西贡榨汁,美食 茶饮果汁,0
344,零距离会所,运动健身 体育场馆,0
345,FOLORIA,购物 内衣,0
346,中国农业银行南京江宁支行办公楼,生活服务 商务楼,1
347,左花,购物 花店,0
348,四联新能源大楼,生活服务 商务楼,1
349,尚园,生活服务 小区,1
350,TOPHILL雷迈表,购物 钟表,0
351,YourDay画咖,教育培训 美术培训,0
352,中国兰州牛肉拉面,美食 面馆,0
353,老友记黄焖鸡,美食 快餐简餐,0
354,人人特色牛肉面,美食 快餐简餐,0
355,MANGOOICE,美食 甜品,0
356,百家湖利源国际公馆,生活服务 小区,1
357,正宗山西罐罐面,美食 面馆,0
358,CARRERA,购物 眼镜店,0
359,悦悦蔬果店,美食 水果店,0
360,西域美食餐厅·清真,美食 特色菜,0
361,凯盛家纺,家装 床品家纺,0
362,南京航空航天大学江宁校区后街鸡蛋灌饼,美食 小吃,0
363,老淮味长鱼面,美食 面馆,0
364,【博雅】多媒体影院尊享大床房南京南站10分钟/百家湖地铁口/水晶蓝湾，直达新街口夫子庙/,其它 榛果民宿,0
365,"琦琦美甲,美睫",丽人 美甲,0
366,影河泛舟 养生足道,休闲娱乐 洗浴/汗蒸,0
367,神拿世家小儿推拿,亲子 小儿推拿,0
368,七家湾,美食 生煎/锅贴,0
369,众居地产,生活服务 房产中介,0
370,美华美容院,丽人 美容/SPA,0
371,南京南站希尔顿欢朋酒店电动汽车充电站,爱车 充电站/桩,0
372,南京南站胜太西路亚朵酒店,酒店 豪华型,0
373,珍源豆浆,美食 快餐简餐,0
374,三品之道茶酒直营体验店,购物 烟酒茶叶,0
375,三品黑鸭,美食 快餐简餐,0
376,佑一寿司,美食 寿司,0
377,大玩派轰趴馆别墅轰趴聚会,休闲娱乐 轰趴馆,0
378,刘昌兴菜馆,美食 淮扬菜,0
379,BahSulaiman,美食 南京/江浙菜,0
380,紫郡府,生活服务 小区,1
381,加图复印,生活服务 复印刻章,0
382,若水茗心瑜伽工作室,丽人 瑜伽,0
383,米乐蓝提,美食 创意菜,0
384,鼎仙足道,休闲娱乐 按摩/足疗,0
385,Kappa,购物 运动户外,0
386,通淮街小区,生活服务 小区,1
387,柏拉塞尔久生足道馆,休闲娱乐 按摩/足疗,0
388,品道共享茶社,休闲娱乐 茶馆,0
389,同曦鸣城商务楼a-8栋,生活服务 商务楼,1
390,停车场,爱车 停车场,0
391,KISSCAT,购物 其他服饰鞋包,0
392,中惠大厦北楼,生活服务 商务楼,1
393,皓轩汽车维修中心停车场,爱车 停车场,0
394,碧波阁,生活服务 小区,1
395,觅月墅月子会所,亲子 月子会所,0
396,网居置业,生活服务 房产中介,0
397,梦园私家小厨,美食 小吃,0
398,南杭北门公交站,生活服务 公交车,0
399,紫竹林君临足疗,休闲娱乐 按摩/足疗,0
400,优特轴承,家装 管材管件,0
401,uu鲜果,美食 更多食品保健,0
402,服众汽车维修服务中心,爱车 维修保养,0
403,兼济堂中医门诊部,医疗健康 中医,0
404,高岗里小马牛肉面,美食 面馆,0
405,百家湖花园维也纳城,生活服务 小区,1
406,1+2联合不动产,生活服务 房产中介,0
407,京状商务,生活服务 商务楼,1
408,羽田护肤造型,丽人 美发,0
409,蓝宝湾8号,结婚 餐厅婚宴,0
410,长城集团,生活服务 公司企业,0
411,BVLGARI,丽人 化妆品,0
412,风满楼,美食 快餐简餐,0
413,卡凡护肤造型,丽人 美发,0
414,托乐嘉商城,购物 综合商场,1
415,1000cool,美食 甜品,0
416,Salvalove Feviagawo,丽人 化妆品,0
417,大明坊食府,美食 本帮江浙菜,0
418,卓越星辰香港造型设计馆,丽人 美发,0
419,同曦国际广场,生活服务 小区,1
420,顾泽医疗美容,丽人 医学美容,0
421,大洋国际pandora美颜,丽人 纹绣,0
422,百家湖花园管理处配电房,生活服务 小区,1
423,苏南律师事务所,生活服务 律师服务,0
424,大西北牛肉面,美食 面馆,0
425,零距离健身游泳,运动健身 游泳馆,0
426,云南过桥米线,美食 米线,0
427,小麦田国际少儿艺术中心,亲子 儿童美术,0
428,百家湖一号别墅轰趴,休闲娱乐 轰趴馆,0
429,新城发展中心,生活服务 商务楼,1
430,Join Tour,美食 咖啡厅,0
431,甲甲屋美甲美睫馆,丽人 美睫,0
432,舞蹈 胜太路,丽人 舞蹈,0
433,悠游堂巴啦啦小魔仙主题乐园,亲子 儿童主题乐园,0
434,招商中心,生活服务 小区,1
435,高尔夫国际花园,生活服务 小区,1
436,大士茶亭,休闲娱乐 茶馆,0
437,直摆勾拳场,运动健身 拳击,0
438,酱香黄焖鸡,美食 黄焖鸡,0
439,倪雅足道,休闲娱乐 按摩/足疗,0
440,何盛记鲜炖汤,美食 小吃快餐,0
441,同曦鸣城新贵之都,生活服务 小区,1
442,佰康医疗投资管理公司,丽人 医学美容,0
443,瑞竹园,生活服务 小区,1
444,百家湖山庄,酒店 度假村,1
445,伊美甲艺,丽人 美甲,0
446,微笑家,购物 其他服饰鞋包,0
447,伊维斯,购物 内衣,0
448,天元国际大厦,生活服务 商务楼,1
449,圆缘艺术摄影,结婚 个性写真,0
450,爱之缘婚庆,结婚 婚庆公司,0
451,乐米吃吧,美食 其他中餐,0
452,SoNature素诺烘焙生日蛋糕私人定制,美食 面包烘焙,0
453,沙县特色小吃,美食 小吃,0
454,下午茶生活馆,丽人 美甲,0
455,天蕴美容养生,丽人 SPA美体,0
456,苏捷快餐,美食 南京/江浙菜,0
457,南航清真美食城,美食 其他中餐,0
458,Lecco,美食 其他美食,0
459,欢乐QQ鱼主体餐厅,美食 火锅,0
460,金陵福记汤包馆,美食 包子,0
461,颐秀居,生活服务 小区,1
462,徐州红富士,购物 特色集市,0
463,101服装店,购物 服装,0
464,心晴旅馆,酒店 经济型,0
465,鸭血粉丝,美食 快餐简餐,0
466,生活里,购物 更多购物场所,0
467,太平文印,生活服务 其他文印图文,0
468,HONRN,购物 服装,0
469,百家湖公寓,酒店 民宿,0
470,凯兰帝生活美学中心,亲子 综合才艺,0
471,碧水湾西园,生活服务 小区,1
472,猫空咖啡,美食 咖啡厅,0
473,怡湖美甲,丽人 美甲,0
474,零食工坊国际,美食 更多食品保健,0
475,LOUISLONG,购物 箱包,0
476,翠屏国际城水杉苑,生活服务 小区,1
477,简绿水果店,美食 水果店,0
478,朴舒全屋定制,家装 全屋定制,0
479,停车场,爱车 停车场,0
480,大大音乐香锅,美食 干锅/香锅,0
481,南京南站借宿一宿,其它 榛果民宿,0
482,瓜瓜宠物,宠物 宠物店,0
483,悦容美容spa中心,丽人 美容/SPA,0
484,No.66号餐厅,美食 茶餐厅,0
485,五岳轴承贸易有限公司,家装 家用五金,0
486,川北凉粉,美食 快餐简餐,0
487,匠驴,生活服务 更多生活服务,0
488,挪威森林小区,生活服务 小区,1
489,SunFlower,亲子 母婴购物,0
490,南京金实装饰设计工程有限公司,家装 全包装修,0
491,胜利二小区,生活服务 小区,1
492,帝景天成,生活服务 小区,1
493,有缘饭店,美食 苏浙菜,0
494,A-LINE,购物 其他服饰鞋包,0
495,雅艺轩,家装 全包装修,0
496,小天才,亲子 更多亲子服务,0
497,南京航空航天大学管理科学与工程博士后科研流动站,教育培训 其他院校,0
498,南岸·瑞智NR99文化创意产业园,生活服务 商务楼,1
499,南京筑诚置业发展有限公司,生活服务 公司企业,0
500,Y²GRAOU,购物 服装,0
501,BabyPark少儿英语培训机构,亲子 幼儿外语,0
502,水岸香樟私人派对别墅,生活服务 小区,1
503,胜太路大市场,购物 特色集市,1
504,韩博士机器人,亲子 教育机器人,0
505,江宁金鹰,购物 综合商场,1
506,瓜甜果香,美食 水果店,0
507,DECEMBER美甲美睫,丽人 美甲,0
508,万家乐广场,购物 综合商场,1
509,重庆铁锅门养生香锅馆,美食 干锅/香锅,0
510,博赞源全脑教育,亲子 综合教育,0
511,平安银行24小时自助银行,生活服务 ATM自助网点,0
512,南京华邦酒业有限公司,购物 烟酒茶叶,0
513,bbebaby,购物 其他服饰鞋包,0
514,宇宙甜心意大利手工冰淇淋,美食 冰淇淋,0
515,翠屏新天地,购物 综合商场,1
516,WE珠宝设计中心,结婚 钻石首饰,0
517,忠东工量具,家装 建材,0
518,精锐教育,教育培训 初中辅导,0
519,陈记一牛火锅,美食 潮汕牛肉火锅,0
520,丸来玩去,美食 快餐简餐,0
521,凌波阁,生活服务 小区,1
522,疯狂薯条,美食 快餐简餐,0
523,深呼吸游泳培训联盟,运动健身 游泳馆,0
524,晫越专业瘦身,丽人 瘦身纤体,0
525,前景超市,购物 超市/便利店,0
526,西檬烘焙,美食 面包烘焙,0
527,清晨养生中心,休闲娱乐 按摩/足疗,0
528,千人创业大厦,生活服务 商务楼,1
529,湊湊火锅·茶憩,美食 火锅,0
530,南京战象泰拳搏击俱乐部,运动健身 泰拳,0
531,太平邻里社区,生活服务 小区,1
532,焜耀光电技术有限公司,丽人 脱毛,0
533,英语口语培训,教育培训 英语,0
534,中国联通营业厅,生活服务 联通营业厅,0
535,桌悦台球,运动健身 台球馆,0
536,Samsonite,购物 服装,0
537,丝域养发馆,丽人 养发,0
538,苏捷直字091号,美食 更多食品保健,0
